,x,y,cluster_pca,Car,Year
5162,-1.4446894775396648,0.17678809810155902,2,Infiniti G37,2008
5163,-1.5969019938279967,0.1492726396113543,2,Infiniti G37,2009
5164,-1.543155783311399,0.04715174722152813,2,Infiniti G37,2009
5165,-1.7257776513125132,0.1635483519236996,2,Infiniti G37,2009
5166,-0.4702346637448385,0.0842162202408159,0,Infiniti G37,2009
5167,-1.7309895900702812,0.15860746523530164,2,Infiniti G37,2009
5168,-0.4042778167030556,0.16831016480938038,0,Infiniti G37,2009
5169,-1.7257048512994275,0.280138013430599,2,Infiniti G37,2009
5170,-1.5430829832983135,0.16374140872842757,2,Infiniti G37,2009
5171,-1.736128728814964,0.2702562400538031,2,Infiniti G37,2009
5172,-1.7309167900571958,0.2751971267422011,2,Infiniti G37,2009
5173,-1.5482949220560818,0.15880052204002962,2,Pontiac G3,2009
5181,-1.6821593409160482,0.34298614523905224,2,Pontiac G6,2008
5182,-0.036169988430635625,-1.186982980609921,3,Pontiac G6,2008
5183,0.3536207841089108,-1.0720574709966315,3,Pontiac G6,2008
5186,0.42558291002159154,-1.1034520507341212,3,Pontiac G6,2008
5187,0.39652635144703374,-1.1309974940219398,3,Pontiac G6,2009
5189,0.3684997132738915,-1.0388631618390607,3,Pontiac G6,2009
5190,0.2878545681990195,-0.9207466337580686,3,Pontiac G6,2009
5191,0.4152508039310724,-0.9945434082441312,3,Pontiac G6,2009
5195,2.885370065318498,1.8003766585345786,1,Pontiac G6,2009
5196,0.33524392769689326,0.6736829670184911,0,Pontiac G6,2009
5197,1.1240602115788267,1.1068561052674848,0,Pontiac G6,2009
5198,0.8997332263139757,0.989148866878522,0,Pontiac G6,2009
5199,0.9263141139785935,1.0143473889893517,0,Pontiac G6,2009
5202,2.7800889024115802,1.7005707474289402,1,Genesis G80,2017
5203,1.8394873396029503,1.050380372265443,0,Genesis G80,2017
5204,0.2552876460222217,0.6928382898981515,0,Genesis G80,2017
5205,2.4718286163251935,1.5794317316454267,1,Pontiac G8,2008
5206,0.3311471767037642,0.786319919174672,0,Pontiac G8,2008
5207,2.368632228921383,1.4816021752151471,1,Pontiac G8,2009
5208,2.881273314325369,1.9130136106907598,1,Pontiac G8,2009
5209,0.2511908950290926,0.8054752420543325,0,Pontiac G8,2009
5216,0.9222173629854644,1.1269843411455327,0,Lamborghini Gallardo,2012
5217,0.11761780905003212,-1.5045288473519631,3,Lamborghini Gallardo,2012
5218,0.061709245674179805,-1.3460557841987728,3,Lamborghini Gallardo,2012
5219,-0.002075515457085842,-1.1903884641539246,3,Lamborghini Gallardo,2012
5220,4.045026884095152,-0.8330920964045293,1,Lamborghini Gallardo,2012
5221,4.057035023863527,-0.7051878043811987,1,Lamborghini Gallardo,2012
5222,-2.684636960281851,0.8876665682965319,2,Lamborghini Gallardo,2013
5223,-2.6756463659247007,0.8961895978340183,2,Lamborghini Gallardo,2013
5224,-2.6596196542445636,0.9113828244008421,2,Lamborghini Gallardo,2013
5225,-2.8061375349864424,0.9623915489493456,2,Lamborghini Gallardo,2013
5226,-0.20350850121542002,0.4655644563461512,0,Lamborghini Gallardo,2013
5227,-0.24690327044212146,0.5409471228718115,0,Lamborghini Gallardo,2013
5228,-0.22240715828061083,0.5641692903072818,0,Lamborghini Gallardo,2014
5229,-0.27102952839552263,0.4019099948409801,0,Lamborghini Gallardo,2014
5230,-0.2696223049309252,0.40324403424684757,0,Lamborghini Gallardo,2014
5231,-0.11056354124543043,0.35946314639280236,0,Lamborghini Gallardo,2014
5232,-0.2082256663644156,0.4614476794361755,0,Lamborghini Gallardo,2014
5233,-0.12656419323177887,0.34429462425942065,0,Lamborghini Gallardo,2014
5234,-0.1454835309224775,0.3263592055805361,0,Lamborghini Gallardo,2014
5235,-0.12828413302184238,0.34266413165224935,0,Lamborghini Gallardo,2014
5236,-0.2538301304948875,0.4182149209126934,0,Lamborghini Gallardo,2014
5237,-0.2361095387184756,0.4350139356532464,0,Lamborghini Gallardo,2014
5238,-0.252110190704824,0.4198454135198647,0,Lamborghini Gallardo,2014
5239,-0.08267966889137046,0.3858968901757314,0,Lamborghini Gallardo,2014
5240,-0.1440763074578801,0.3276932449864035,0,Lamborghini Gallardo,2014
5241,-0.2561548223103754,0.5325317745429298,0,Hyundai Genesis Coupe,2014
5242,-0.11361790448700587,0.47308827588666313,0,Hyundai Genesis Coupe,2014
5243,-0.2120618204196563,0.5743316759267765,0,Hyundai Genesis Coupe,2014
5244,-0.08651582294661113,0.49878088666633247,0,Hyundai Genesis Coupe,2014
5245,-0.27345845898616583,0.5161280307374486,0,Hyundai Genesis Coupe,2014
5246,-0.23916390196005102,0.548639065147107,0,Hyundai Genesis Coupe,2014
5247,-0.13060882483733027,0.45698098528248576,0,Hyundai Genesis Coupe,2014
5248,-0.14791246151312076,0.44057724147700456,0,Hyundai Genesis Coupe,2014
5249,-0.021365087241871347,0.6508708060602183,0,Hyundai Genesis Coupe,2015
5250,-0.16317233363915334,0.7110060288528607,0,Hyundai Genesis Coupe,2015
5251,-0.1469110847149165,0.7264215953206623,0,Hyundai Genesis Coupe,2015
5252,-0.17719244889754984,0.6977150436610702,0,Hyundai Genesis Coupe,2015
5253,-0.11579581033104022,0.7559186888503981,0,Hyundai Genesis Coupe,2015
5254,-0.03762633616610819,0.6354552395924168,0,Hyundai Genesis Coupe,2016
5255,0.009750187142004915,0.6803678995899541,0,Hyundai Genesis Coupe,2016
5256,-0.051646451424504705,0.6221642544006263,0,Hyundai Genesis Coupe,2016
5257,1.4959298937034184,-1.0673589443817042,0,Hyundai Genesis Coupe,2016
5258,3.455276149483208,-0.8280297228154369,1,Hyundai Genesis Coupe,2016
5259,3.378660649744015,-0.9006607571348867,1,Hyundai Genesis,2014
5260,1.5040811987910447,-0.9431109085077881,0,Hyundai Genesis,2014
5261,3.4589973066267317,-0.7079814406266588,1,Hyundai Genesis,2015
5262,1.5439525302879715,-0.9053131253415437,0,Hyundai Genesis,2015
5263,3.4834934187882425,-0.6847592731911885,1,Hyundai Genesis,2015
5264,3.5799679064271688,-0.5029746248000306,1,Hyundai Genesis,2016
5265,3.5554717942656584,-0.526196792235501,1,Hyundai Genesis,2016
5266,1.4986814631084735,-0.8317091780237066,0,Hyundai Genesis,2016
5267,1.5385527946054003,-0.7939113948574623,0,Maserati Ghibli,2015
5268,5.5522692065627,1.7183085333181984,1,Maserati Ghibli,2015
5269,5.5730594631379144,1.8545382194114797,1,Maserati Ghibli,2016
5270,5.627336426231789,2.0225131024777174,1,Maserati Ghibli,2016
5271,5.766219292569085,1.9211319318769342,1,Maserati Ghibli,2016
5272,5.789094324647407,2.0593379726455745,1,Maserati Ghibli,2017
5273,5.8487135249679945,2.2323772645674205,1,Maserati Ghibli,2017
5274,5.050171257716559,1.8713893468236198,1,Maserati Ghibli,2017
5275,5.425691445213759,2.227380232722692,1,Rolls-Royce Ghost Series II,2015
5276,5.069319753583075,2.0060626536100554,1,Rolls-Royce Ghost Series II,2015
5277,5.448618596679657,2.3656356823582168,1,Rolls-Royce Ghost Series II,2016
5278,5.11955746413968,2.170208349492785,1,Rolls-Royce Ghost Series II,2016
5279,5.508368095469189,2.5387984964472725,1,Rolls-Royce Ghost,2012
5280,0.05907343047294962,0.17433671259886935,0,Rolls-Royce Ghost,2012
5281,-0.024829176325527433,0.289365186499613,0,Rolls-Royce Ghost,2013
5282,-0.0407255895367205,0.2742954820999992,0,Rolls-Royce Ghost,2013
5283,-0.06079155375412814,0.2552730683496671,0,Rolls-Royce Ghost,2014
5284,0.10024774665931854,0.2133697174372132,0,Rolls-Royce Ghost,2014
5285,0.08643610895123276,0.20027636771295862,0,Mercedes-Benz GL-Class,2014
5286,0.04734656826797111,0.16321971754997397,0,Mercedes-Benz GL-Class,2014
5287,0.06428536923071783,0.17927759928726733,0,Mercedes-Benz GL-Class,2014
5288,0.07601223143569633,0.1903945943361627,0,Mercedes-Benz GL-Class,2014
5289,-0.04906469154914966,0.2663900633985625,0,Mercedes-Benz GL-Class,2015
5290,-0.07773035471687485,0.2392151866123738,0,Mercedes-Benz GL-Class,2015
5291,-0.06600349251189637,0.25033218166126914,0,Mercedes-Benz GL-Class,2015
5292,-0.03864081403361321,0.27627183677535844,0,Mercedes-Benz GL-Class,2015
5293,0.08435133344812547,0.19830001303759942,0,Mercedes-Benz GL-Class,2016
5294,0.035125744336508134,0.5249345941054523,0,Mercedes-Benz GL-Class,2016
5295,0.010931037138773164,0.6016124003421094,0,Mercedes-Benz GL-Class,2016
5296,0.03199858108184721,0.5219700620924135,0,Mercedes-Benz GL-Class,2016
5297,0.03199858108184721,0.5219700620924135,0,Mercedes-Benz GLA-Class,2015
5298,0.026786642324078985,0.5170291754040156,0,Mercedes-Benz GLA-Class,2015
5299,-0.11223221683779697,0.5798077725749509,0,Mercedes-Benz GLA-Class,2015
5300,-0.09933266841232062,0.5920364671287358,0,Mercedes-Benz GLA-Class,2016
5301,-0.004015915734331189,0.48782853507558366,0,Mercedes-Benz GLA-Class,2016
5302,-0.09412072965455241,0.5969773538171338,0,Mercedes-Benz GLA-Class,2016
5303,-0.1301352264707308,0.5628358268003039,0,Mercedes-Benz GLA-Class,2017
5304,0.008675155140834417,0.4998595941618327,0,Mercedes-Benz GLA-Class,2017
5305,-0.11744415559556519,0.5748668858865529,0,Mercedes-Benz GLA-Class,2017
5306,0.01388709389860264,0.5048004808502307,0,Mercedes-Benz GLC-Class,2016
5307,-0.13395125312559208,0.658832499988597,0,Mercedes-Benz GLC-Class,2016
5308,-0.00783194238919243,0.5838252082638768,0,Mercedes-Benz GLC-Class,2017
5309,-0.09412072965455241,0.5969773538171338,0,Mercedes-Benz GLC-Class,2017
5310,-0.09099356639989148,0.5999418858301725,0,Mercedes-Benz GLE-Class Coupe,2016
5311,0.02998660559182542,0.6365833689239536,0,Mercedes-Benz GLE-Class Coupe,2016
5312,-0.10134464390234242,0.7066497739602758,0,Mercedes-Benz GLE-Class Coupe,2017
5313,0.03311376884648635,0.6395479009369923,0,Mercedes-Benz GLE-Class Coupe,2017
5314,-0.09300554188991327,0.7145551926617125,0,Mercedes-Benz GLE-Class,2016
5315,0.00944025552452819,0.7167197958424892,0,Mercedes-Benz GLE-Class,2016
5316,0.02998660559182542,0.6365833689239536,0,Mercedes-Benz GLE-Class,2016
5317,-0.11919553414769855,0.6897272370525128,0,Mercedes-Benz GLE-Class,2016
5318,-0.09613270514457418,0.7115906606486738,0,Mercedes-Benz GLE-Class,2016
5319,0.0247746668340572,0.6316424822355556,0,Mercedes-Benz GLE-Class,2016
5320,0.006923776588701052,0.6147199453277926,0,Mercedes-Benz GLE-Class,2017
5321,-0.0057672942864645535,0.6026888862415436,0,Mercedes-Benz GLE-Class,2017
5322,-0.13544203473983704,0.7739398954889769,0,Mercedes-Benz GLE-Class,2017
5323,0.012135715346469275,0.6196608320161906,0,Mercedes-Benz GLE-Class,2017
5324,-0.0093227240034374,0.6989326037642566,0,Mercedes-Benz GLE-Class,2017
